instrument,time,open,high,low,close,volume,quote_volume
BTC-USDT,2025-02-18 06:00:00,95609.49,95641.79,95250.3,95392.79,1422.2917817,135690662.949406
BTC-USDT,2025-02-18 07:00:00,95382.75,95713.19,95298.06,95439.31,807.70590316,77123037.31641641
BTC-USDT,2025-02-18 08:00:00,95456.93,95582.11,95050.0,95228.89,981.0911521099999,93482408.45151514
BTC-USDT,2025-02-18 09:00:00,95238.89,95780.5,95149.04,95749.96,729.41941369,69672976.62834762
BTC-USDT,2025-02-18 10:00:00,95775.95,95872.17,95634.05,95733.21,373.10730774,35727103.04330904
BTC-USDT,2025-02-18 11:00:00,95742.5,95782.1,95562.74,95633.75,422.57840594000004,40424310.26756102
BTC-USDT,2025-02-18 12:00:00,95640.34,96351.39,95597.13,96237.41,739.08401007,70950475.95744579
BTC-USDT,2025-02-18 13:00:00,96194.0,96482.91,96107.77,96209.18,968.2279427300001,93230023.16552636
BTC-USDT,2025-02-18 14:00:00,96230.0,96753.91,95375.12,95548.52,1553.58810878,149252974.6011013
BTC-USDT,2025-02-18 15:00:00,95536.83,95730.77,95199.53,95549.49,1255.49180504,119874217.34051935
BTC-USDT,2025-02-18 16:00:00,95546.48,95640.56,94595.64,94632.76,2089.00679987,198445617.18543154
BTC-USDT,2025-02-18 17:00:00,94639.98,94878.74,94098.8,94106.8,1540.64212945,145517415.45248187
BTC-USDT,2025-02-18 18:00:00,94102.16,94350.87,93589.0,93983.89,1868.84458277,175557226.64920592
BTC-USDT,2025-02-18 19:00:00,93924.03,94403.88,93385.63,94094.64,1434.28468807,134488757.47832194
